identificador,idioma,texto
TXT00579,fr,Hier je suis allé au marché pour acheter des fruits frais.
TXT00214,fr,Je vais appeler demain.
TXT00591,es,El restaurante de la esquina es muy bueno y barato.
TXT00619,fr,J'ai une réunion importante lundi après-midi.
TXT00079,pt,Tenho que comer esta semana.
TXT00384,fr,Merci.
TXT00470,en,Where is the bathroom?
TXT00720,en,Goodbye. How much is this?
TXT00469,fr,Où sont les toilettes?
TXT00250,fr,Je ne veux plus attendre.
TXT00476,es,Tengo mucha hambre.
TXT00518,it,Fa molto freddo oggi.
TXT00538,it,Non parlo bene la lingua!
TXT00417,pt,Tchau.
TXT00708,it,COME STAI OGGI? DOV'È IL BAGNO?
TXT00120,pt,Gostaria de ligar em breve.
TXT00226,fr,Je vais dormir demain.
TXT00461,es,¿Dónde está el baño?
TXT00287,en,I would like to travel soon.
TXT00400,en,Sorry.
TXT00118,pt,Posso enviar aqui?
TXT00684,fr,Hier je suis allé au marché pour acheter des fruits frais. Où sont les toilettes?
TXT00374,fr,Bonjour.
TXT00315,en,Cancel.
TXT00019,es,Quiero enviar ahora.
TXT00170,it,Non voglio prenotare più.
TXT00054,es,Quiero reservar ahora.
TXT00252,fr,J'aimerais étudier bientôt.
TXT00553,it,Il treno arriva alle otto del mattino.
TXT00510,en,My name is Ana.
TXT00368,it,Buongiorno.
TXT00452,pt,Não entendo nada.
TXT00251,fr,Je dois écrire aujourd'hui.
TXT00636,es,Mi hermana vive en el centro de la ciudad. Tengo una reunión importante el lunes por la tarde.
TXT00312,en,I have to send this week.
TXT00351,es,Hola.
TXT00119,pt,Vou reservar amanhã.
TXT00061,es,No quiero cancelar más.
TXT00672,pt,Desculpe. Não entendo nada.
TXT00456,es,¿Dónde está el baño?
TXT00682,pt,Ontem fui ao mercado para comprar fruta fresca. Onde fica o banheiro?
TXT00106,pt,Gostaria de estudar em breve.
TXT00405,en,Sorry.
TXT00434,fr,Comment ça va aujourd'hui?
TXT00320,en,CAN I BUY HERE?
TXT00192,it,Mi piacerebbe chiamare presto.
TXT00055,es,Voy a estudiar mañana.
TXT00246,fr,Je dois écrire cette semaine.
TXT00664,fr,Je ne comprends rien. Il fait très froid aujourd'hui.
TXT00093,pt,Não quero escrever mais.
TXT00353,it,Ciao.
TXT00600,en,The restaurant on the corner is very good and cheap.
TXT00107,pt,Quero enviar agora.
TXT00052,es,¿Dónde puedo cancelar?
TXT00712,pt,Obrigado. Bom dia.
TXT00601,es,El restaurante de la esquina es muy bueno y barato.
TXT00023,es,Quiero dormir ahora.
TXT00286,en,I would like to read soon.
TXT00263,fr,Où puis-je marcher?
TXT00047,es,¿Puedo trabajar aquí?
TXT00349,en,I don't want to study anymore.
TXT00662,pt,Não entendo nada. Está muito frio hoje.
TXT00719,fr,Au revoir. Combien ça coûte?
TXT00334,en,Can I drive here?
TXT00304,en,I will walk tomorrow.
TXT00721,es,¿Cuánto cuesta esto? Hace mucho frío hoy.
TXT00339,en,I need to eat today.
TXT00597,pt,O restaurante da esquina é muito bom e barato.
TXT00225,fr,Je vais annuler demain.
TXT00393,it,Grazie.
TXT00608,it,Ho una riunione importante lunedì pomeriggio.
TXT00689,fr,Le restaurant du coin est très bon et pas cher. J'ai une réunion importante lundi après-midi.
TXT00524,fr,Il fait très froid aujourd'hui.
TXT00352,pt,Olá.
TXT00670,en,How are you today? Goodbye.
TXT00098,pt,Onde posso falar?
TXT00069,es,Quiero caminar ahora.
TXT00256,fr,J'aimerais conduire bientôt.
TXT00622,pt,Não sei se vou conseguir chegar antes das dez da noite.
TXT00477,pt,Estou com muita fome.
TXT00309,en,Where can I read?
TXT00445,en,I don't understand anything.
TXT00356,es,Hola.
TXT00729,fr,J'ai très faim. Le restaurant du coin est très bon et pas cher.
TXT00236,fr,Puis-je annuler ici?
TXT00570,en,My sister lives in the city centre.
TXT00422,pt,Tchau.
TXT00295,en,Can I wait here?
TXT00414,fr,Au revoir.
TXT00044,es,Quiero leer ahora.
TXT00188,it,Dove posso lavorare?
TXT00273,fr,Je ne veux plus annuler.
TXT00201,it,Parlare.
TXT00552,pt,O trem chega às oito da manhã.
TXT00297,en,Cancel.
TXT00501,es,Me llamo Ana.
TXT00067,es,¿Puedo conducir aquí?
TXT00703,it,QUANTO COSTA QUESTO? BUONGIORNO.
TXT00089,pt,Tenho que estudar esta semana.
TXT00551,es,El tren llega a las ocho de la mañana.
TXT00221,fr,Puis-je payer ici?
TXT00603,it,Il ristorante all'angolo è molto buono ed economico.
TXT00272,fr,Je ne veux plus voyager.
TXT00164,it,Non voglio pagare più.
TXT00616,es,Tengo una reunión importante el lunes por la tarde.
TXT00676,es,¿Dónde está el baño? Mi hermana vive en el centro de la ciudad.
TXT00134,pt,Tenho que pagar esta semana.
TXT00512,pt,Meu nome é Ana.
TXT00709,fr,Comment ça va aujourd'hui? Où sont les toilettes?
TXT00647,pt,Como você está hoje? Bom dia.
TXT00571,es,Mi hermana vive en el centro de la ciudad.
TXT00585,en,YESTERDAY I WENT TO THE MARKET TO BUY FRESH FRUIT.
TXT00340,en,I will wait tomorrow.
TXT00149,it,Non voglio aspettare più.
TXT00240,fr,Je ne veux plus parler.
TXT00198,it,Voglio inviare adesso.
TXT00484,fr,J'ai très faim.
TXT00582,pt,Ontem fui ao mercado para comprar fruta fresca.
TXT00656,es,Me llamo Ana. ¿Cuánto cuesta esto?
TXT00511,es,Me llamo Ana.
TXT00322,en,Where can I sleep?
TXT00609,fr,J'AI UNE RÉUNION IMPORTANTE LUNDI APRÈS-MIDI.
TXT00290,en,I need to wait today.
TXT00599,fr,Le restaurant du coin est très bon et pas cher.
TXT00598,it,Il ristorante all'angolo è molto buono ed economico.
TXT00063,es,Tengo que comer esta semana.
TXT00190,it,Posso prenotare qui?
TXT00183,it,Devo parlare questa settimana.
TXT00330,en,I would like to buy soon.
TXT00496,es,¿Cuánto cuesta esto?
TXT00335,en,Where can I write?
TXT00604,fr,Le restaurant du coin est très bon et pas cher.
TXT00463,it,Dov'è il bagno?
TXT00102,pt,Gostaria de falar em breve.
TXT00419,fr,Au revoir.
TXT00624,fr,Je ne sais pas si je pourrai arriver avant dix heures du soir.
TXT00148,it,Posso studiare qui?
TXT00724,fr,Combien ça coûte? Il fait très froid aujourd'hui.
TXT00161,it,Camminare.
TXT00328,en,I don't want to play anymore.
TXT00239,fr,Je ne veux plus lire.
TXT00360,en,Hi.
TXT00031,es,Hablar.
TXT00733,it,Non so se riuscirò ad arrivare prima delle dieci di sera. Il treno arriva alle otto del mattino...
TXT00387,pt,Obrigado...
TXT00621,es,NO SÉ SI PODRÉ LLEGAR ANTES DE LAS DIEZ DE LA NOCHE.
TXT00432,pt,Como você está hoje?
TXT00267,fr,Je vais réserver demain.
TXT00629,fr,JE NE SAIS PAS SI JE POURRAI ARRIVER AVANT DIX HEURES DU SOIR.
TXT00573,it,MIA SORELLA VIVE NEL CENTRO DELLA CITTÀ.
TXT00520,en,It is very cold today...
TXT00700,en,Good morning. How much is this?
TXT00640,en,My sister lives in the city centre. I have an important meeting on Monday afternoon.
TXT00036,es,Voy a comprar mañana.
TXT00306,en,I need to pay today.
TXT00534,fr,Je ne parle pas bien la langue.
TXT00499,fr,Combien ça coûte?...
TXT00396,es,Lo siento.
TXT00319,en,Where can I book?
TXT00050,es,¿Dónde puedo estudiar?
TXT00547,pt,O trem chega às oito da manhã.
TXT00482,pt,Estou com muita fome.
TXT00258,fr,Je dois voyager aujourd'hui.
TXT00253,fr,Parler.
TXT00117,pt,Quero comer agora.
TXT00502,pt,Meu nome é Ana.
TXT00259,fr,J'aimerais annuler bientôt.
TXT00562,pt,Minha irmã mora no centro da cidade.
TXT00472,pt,Estou com muita fome.
TXT00152,it,VOGLIO CAMMINARE ADESSO.
TXT00095,pt,Onde posso cancelar?
TXT00282,en,I have to call this week.
TXT00715,en,Thanks. Good morning...
TXT00227,fr,J'aimerais appeler bientôt.
TXT00157,it,VADO A LEGGERE DOMANI.
TXT00202,it,Vado a pagare domani.
TXT00041,es,Quiero cancelar ahora.
TXT00174,it,Dormire.
TXT00409,fr,Désolé.
TXT00049,es,Voy a escribir mañana.
TXT00377,pt,Bom dia.
TXT00727,pt,Estou com muita fome. O restaurante da esquina é muito bom e barato.
TXT00671,es,Lo siento. No entiendo nada.
TXT00354,fr,SALUT.
TXT00099,pt,Vou dirigir amanhã.
TXT00223,fr,Attendre.
TXT00345,en,CAN I PAY HERE?
TXT00053,es,Necesito leer hoy.
TXT00593,it,Il ristorante all'angolo è molto buono ed economico.
TXT00378,it,Buongiorno.
TXT00595,en,The restaurant on the corner is very good and cheap.
TXT00415,en,Goodbye.
TXT00115,pt,Gostaria de escrever em breve.
TXT00706,es,¿Cómo estás hoy? ¿Dónde está el baño?
TXT00154,it,Dove posso chiamare?
TXT00480,en,I am very hungry.
TXT00244,fr,Je vais étudier demain.
TXT00667,pt,Como você está hoje? Tchau.
TXT00398,it,Mi dispiace!!
TXT00455,en,I don't understand anything!
TXT00437,pt,Como você está hoje?
TXT00446,es,NO ENTIENDO NADA.
TXT00008,es,ME GUSTARÍA PAGAR PRONTO.
TXT00146,it,Posso leggere qui?
TXT00441,es,No entiendo nada.
TXT00728,it,Ho molta fame. Il ristorante all'angolo è molto buono ed economico.
TXT00494,fr,Combien ça coûte?
TXT00438,it,Come stai oggi?
TXT00144,it,Mangiare.
TXT00679,fr,Où sont les toilettes? Ma sœur habite au centre-ville.
TXT00135,pt,Preciso escrever hoje.
