identificador,idioma,texto
TXT00892,pt,A prova de matemática foi muito difícil.
TXT00737,es,Nadar.
TXT00776,it,Aprire.
TXT00774,it,Aprire.
TXT00786,it,Dove posso riposare?
TXT00775,it,Ballare!!
TXT00748,es,Cantar.
TXT00826,es,Me gustaría pagar pronto.
TXT00882,pt,"Você pode me passar o sal, por favor?"
TXT00778,it,Chiudere.
TXT00884,fr,"Peux-tu me passer le sel, s'il te plaît?"
TXT00808,en,Clean.
TXT00792,fr,Nettoyer.
TXT00834,es,¿Dónde puedo pagar?
TXT00822,en,Rest.
TXT00857,fr,Je dois marcher aujourd'hui.
TXT00853,it,Dove posso studiare?
TXT00801,fr,Puis-je cuisiner ici?
TXT00785,it,Vado a riposare domani.
TXT00784,it,Mi piacerebbe pulire presto.
TXT00823,en,I need to open today.
TXT00836,pt,Posso pagar aqui?!
TXT00790,fr,CHANTER.
TXT00751,es,No quiero nadar más.
TXT00813,en,Where can I swim?
TXT00794,fr,Je dois nager aujourd'hui...
TXT00870,en,I don't want to pay anymore.
TXT00844,pt,Gostaria de ligar em breve.
TXT00805,fr,Puis-je reposer ici?
TXT00865,fr,Où puis-je manger?
TXT00897,pt,Amanhã vamos à praia se fizer bom tempo.
TXT00872,en,I want to buy now.
TXT00841,pt,Vou jogar amanhã.
TXT00810,en,Where can I dance?
TXT00760,pt,Cozinhar.
TXT00756,pt,Quero dançar agora.
TXT00788,it,Vado a nuotare domani.
TXT00850,it,Prenotare.
TXT00885,en,"Can you pass me the salt, please?"
TXT00824,en,I want to close now.
TXT00739,es,Descansar.
TXT00890,en,I am learning a new language.
TXT00879,fr,Il pleut depuis ce matin.
TXT00749,es,Quiero nadar ahora.
TXT00875,en,I don't want to buy anymore.
TXT00745,es,Abrir.
TXT00753,es,Cantar.
TXT00820,en,Dance.
TXT00867,en,Send.
TXT00783,it,Voglio cantare adesso.
TXT00800,fr,Je dois reposer cette semaine.
TXT00812,en,I have to open this week.
TXT00858,fr,J'aimerais parler bientôt.
TXT00761,pt,Não quero cantar mais.
TXT00796,fr,Je dois ouvrir cette semaine.
TXT00827,es,Estudiar.
TXT00817,en,Can I close here?
TXT00876,es,Está lloviendo desde esta mañana.
TXT00829,es,Quiero leer ahora.
TXT00738,es,¿Dónde puedo limpiar?
TXT00835,es,Quiero enviar ahora.
TXT00819,en,I will rest tomorrow.
TXT00781,it,Voglio chiudere adesso.
TXT00769,pt,Onde posso fechar?
TXT00766,pt,Gostaria de limpar em breve.
TXT00787,it,Riposare.
TXT00750,es,Me gustaría cocinar pronto.
TXT00743,es,Necesito cocinar hoy.
TXT00833,es,Jugar.
TXT00740,es,Necesito cantar hoy.
TXT00859,fr,Étudier.
TXT00825,en,I have to close this week.
TXT00791,fr,Où puis-je nettoyer?
TXT00874,en,Walk.
TXT00746,es,¿Dónde puedo descansar?
TXT00883,it,"Puoi passarmi il sale, per favore?"
